Source,Target,Weight_x,Weight_y,Weight
e039,i340,0.0253,0.0257,0.0223
e039,f418,0.0201,0.0194,0.0202
e039,k760,0.0224,0.0217,0.0261
e039,e870,0.0243,0.0278,0.031
e039,i5022,0.0318,0.0361,0.0352
e039,e869,0.0119,0.0117,0.0115
e039,j9611,0.0237,0.0225,0.0226
e039,k449,0.0423,0.0402,0.0396
e039,n184,0.0354,0.0343,0.032
e039,z6830,0.0098,0.0098,0.012
e039,i493,0.0147,0.0144,0.0136
e039,f17200,0.0208,0.0189,0.0177
e039,r7303,0.0174,0.0164,0.0204
e039,z888,0.0579,0.0613,0.0548
e039,f1010,0.0164,0.0141,0.0177
e039,k7460,0.0255,0.0254,0.0267
e039,r5381,0.0281,0.0247,0.025
e039,m48061,0.0213,0.0187,0.019
e039,f05,0.0131,0.0155,0.0157
e039,r29810,0.0156,0.0166,0.013999999999999999
e039,f10239,0.0104,0.01,0.0117
e039,z96651,0.0201,0.0185,0.0176
e039,k922,0.0163,0.0167,0.0175
e039,e782,0.0321,0.0321,0.035
e039,m810,0.0721,0.0644,0.0638
e039,r911,0.0151,0.0175,0.0132
e039,i4820,0.028999999999999998,0.0592,0.0515
e039,r112,0.0247,0.026000000000000002,0.0252
e039,m069,0.0492,0.0452,0.0461
e039,m8580,0.0161,0.0148,0.0137
e039,r4182,0.027999999999999997,0.0274,0.0282
e039,r109,0.0309,0.0296,0.03
e039,z8619,0.0139,0.0162,0.0304
e039,r569,0.0151,0.0144,0.0141
e039,m4316,0.0104,0.0101,0.0101
e039,k7581,0.0113,0.0112,0.0103
e039,j9622,0.0143,0.0156,0.013000000000000001
e039,z8711,0.0151,0.0141,0.0155
e039,b9689,0.0123,0.0108,0.0121
e039,c787,0.012,0.0115,0.0125
e039,m109,0.0444,0.0445,0.0422
e039,z96653,0.0201,0.0197,0.0197
e039,z91040,0.0124,0.0123,0.0121
e039,d500,0.011000000000000001,0.0112,0.0111
e039,r32,0.0256,0.025,0.0228
e039,r6521,0.0254,0.0319,0.0357
e039,f4310,0.0255,0.0218,0.0257
e039,z6835,0.0109,0.0113,0.0132
e039,z8614,0.0171,0.0177,0.0136
e039,g92,0.0291,0.0312,0.0295
e039,z85820,0.0104,0.0099,0.0104
e039,z9181,0.0361,0.0388,0.0362
e039,t380x5a,0.02,0.0215,0.0244
e039,z87442,0.0176,0.0147,0.0198
e039,z7952,0.0445,0.0467,0.0384
e039,i69351,0.0116,0.0123,0.0107
e039,d689,0.0126,0.0127,0.0141
e039,e538,0.0111,0.0111,0.0125
e039,t451x5a,0.0191,0.0191,0.0181
e039,k5909,0.0133,0.013000000000000001,0.0122
e039,z96641,0.0184,0.0166,0.0173
e039,f39,0.0111,0.0104,0.0107
e039,i69354,0.0141,0.0151,0.013000000000000001
e039,n136,0.0125,0.0142,0.0146
e039,i5042,0.0101,0.0098,0.0102
e039,b952,0.0094,0.01,0.0099
e039,z905,0.0142,0.0139,0.013000000000000001
e039,r4701,0.0204,0.0214,0.0192
e039,e222,0.0131,0.0156,0.0152
e039,g8194,0.0101,0.0114,0.0101
e039,r188,0.0234,0.0217,0.0216
e039,z96642,0.0147,0.0138,0.013999999999999999
e039,r45851,0.0449,0.0398,0.0396
e039,r269,0.0178,0.017,0.0159
e039,r110,0.0142,0.0122,0.0138
e039,z823,0.0153,0.0147,0.0106
e039,z993,0.0162,0.0145,0.0124
e039,z8679,0.0106,0.01,0.0119
e039,r600,0.0173,0.0173,0.0152
e039,z915,0.0261,0.0252,0.0243
e039,z96652,0.0165,0.0147,0.0163
e039,i890,0.0135,0.0116,0.0122
e039,z886,0.0209,0.0192,0.0186
e039,f411,0.0193,0.0194,0.0219
e039,j8410,0.0126,0.0123,0.0126
e039,e2740,0.0113,0.0117,0.012
e039,z791,0.0169,0.0158,0.013000000000000001
e039,n3000,0.0134,0.0115,0.0113
e039,r918,0.01,0.012,0.012
e039,z96659,0.013999999999999999,0.0148,0.0201
e039,m1711,0.0202,0.013999999999999999,0.0115
e039,m4802,0.0129,0.0121,0.0107
e039,r7881,0.0113,0.012,0.0123
e039,c7951,0.0143,0.0149,0.0136
e039,r2689,0.0094,0.01,0.0125
e039,f332,0.0121,0.0108,0.0098
e11649,i5032,0.0288,0.0317,0.0304
e11649,i5033,0.0307,0.0333,0.0269
e11649,e1121,0.081,0.0422,0.0387
e11649,i132,0.0628,0.0691,0.0681
e11649,e1140,0.069,0.066,0.0731
e11649,e1143,0.0326,0.0359,0.037000000000000005
e11649,e11319,0.0459,0.0439,0.0389
e11649,e43,0.0318,0.0329,0.0347
e11649,i5022,0.0311,0.0346,0.034
e11649,n184,0.0517,0.0467,0.044000000000000004
e11649,k7460,0.038,0.0368,0.035
e11649,r6521,0.0521,0.0495,0.0566
e11649,e1110,0.0394,0.040999999999999995,0.0507
e11649,r188,0.0407,0.0306,0.0372
e8342,i5032,0.0297,0.0325,0.0288
e8342,z951,0.0437,0.0413,0.0366
e8342,i4892,0.0271,0.0278,0.0242
e8342,i5033,0.0311,0.0354,0.0241
e8342,g43909,0.023,0.0173,0.0194
e8342,j441,0.0393,0.0482,0.0305
e8342,j690,0.0523,0.0503,0.046
e8342,e46,0.0494,0.038,0.0406
e8342,e861,0.0672,0.0695,0.0676
e8342,k529,0.0465,0.0426,0.045
e8342,k567,0.0321,0.0311,0.0286
e8342,z880,0.0496,0.0461,0.0432
e8342,j9601,0.0799,0.0808,0.0634
e8342,r339,0.0319,0.0327,0.0282
e8342,r6520,0.0386,0.040999999999999995,0.0358
e8342,i160,0.0239,0.024,0.0237
e8342,z833,0.0334,0.0281,0.0255
e8342,i429,0.0347,0.0322,0.0296
